%# Absorption coefficients
%# USA model, high latitude, winter, H=0
%# Wavenumber range: 7443-7446 cm-1, T: 296 K, P: 1 atm, step: 0.0001 cm-1, Profile: Voigt, Wing: 50 HW, Scut: 1e-28 cm/mol
%# KNa, Ka and thier units definition in Eqs(2)-(3) of  http://hitran.iao.ru/home.sim-theory.sp-functions.
%# WN,cm-1           KNa,cm-1       Ka,cm**2/molecule (FORMAT F12.6,3X,E17.10,3X,E17.10)
%
 7443.000000    1.1511522174E-07    4.6429187904E-27
 7443.000100    1.1506225313E-07    4.6407824182E-27
 7443.000200    1.1500929604E-07    4.6386465106E-27
 7443.000300    1.1495635139E-07    4.6365111047E-27
 7443.000400    1.1490342008E-07    4.6343762372E-27
 7443.000500    1.1485050304E-07    4.6322419449E-27
 7443.000600    1.1479760115E-07    4.6301082639E-27
 7443.000700    1.1474471533E-07    4.6279752306E-27
 7443.000800    1.1469184644E-07    4.6258428806E-27
 7443.000900    1.1463899539E-07    4.6237112497E-27
 7443.001000    1.1458616303E-07    4.6215803733E-27
 7443.001100    1.1453335026E-07    4.6194502864E-27
 7443.001200    1.1448051955E-07    4.6173194762E-27
 7443.001300    1.1442774204E-07    4.6151908118E-27
 7443.001400    1.1437498681E-07    4.6130630457E-27
 7443.001500    1.1432225470E-07    4.6109362122E-27
 7443.001600    1.1426954655E-07    4.6088103450E-27
 7443.001700    1.1421686319E-07    4.6066854778E-27
 7443.001800    1.1416420545E-07    4.6045616441E-27
 7443.001900    1.1411157416E-07    4.6024388768E-27
 7443.002000    1.1405897012E-07    4.6003172090E-27
 7443.002100    1.1400639416E-07    4.5981966732E-27
 7443.002200    1.1395384706E-07    4.5960773019E-27
 7443.002300    1.1390132963E-07    4.5939591271E-27
 7443.002400    1.1384884266E-07    4.5918421807E-27
 7443.002500    1.1379638693E-07    4.5897264945E-27
 7443.002600    1.1374396322E-07    4.5876120996E-27
 7443.002700    1.1369157230E-07    4.5854990274E-27
 7443.002800    1.1363921494E-07    4.5833873085E-27
 7443.002900    1.1358689189E-07    4.5812769738E-27
 7443.003000    1.1353460391E-07    4.5791680535E-27
 7443.003100    1.1348235175E-07    4.5770605778E-27
 7443.003200    1.1343013615E-07    4.5749545765E-27
 7443.003300    1.1337795784E-07    4.5728500793E-27
 7443.003400    1.1332581755E-07    4.5707471156E-27
 7443.003500    1.1327371600E-07    4.5686457144E-27
 7443.003600    1.1322165391E-07    4.5665459047E-27
 7443.003700    1.1316963199E-07    4.5644477151E-27
 7443.003800    1.1311765094E-07    4.5623511740E-27
 7443.003900    1.1306571146E-07    4.5602563095E-27
 7443.004000    1.1301381424E-07    4.5581631494E-27
 7443.004100    1.1296195996E-07    4.5560717216E-27
 7443.004200    1.1291014931E-07    4.5539820532E-27
 7443.004300    1.1285838296E-07    4.5518941715E-27
 7443.004400    1.1280666158E-07    4.5498081035E-27
 7443.004500    1.1275498582E-07    4.5477238756E-27
 7443.004600    1.1270335634E-07    4.5456415144E-27
 7443.004700    1.1265177379E-07    4.5435610461E-27
 7443.004800    1.1260023882E-07    4.5414824965E-27
 7443.004900    1.1254875206E-07    4.5394058913E-27
 7443.005000    1.1249731413E-07    4.5373312560E-27
 7443.005100    1.1244592567E-07    4.5352586157E-27
 7443.005200    1.1239458730E-07    4.5331879955E-27
 7443.005300    1.1234329962E-07    4.5311194200E-27
 7443.005400    1.1229206324E-07    4.5290529138E-27
 7443.005500    1.1224087877E-07    4.5269885009E-27
 7443.005600    1.1218974680E-07    4.5249262056E-27
 7443.005700    1.1213866792E-07    4.5228660514E-27
 7443.005800    1.1208764271E-07    4.5208080620E-27
 7443.005900    1.1203667175E-07    4.5187522605E-27
 7443.006000    1.1198575561E-07    4.5166986702E-27
 7443.006100    1.1193489485E-07    4.5146473137E-27
 7443.006200    1.1188409004E-07    4.5125982136E-27
 7443.006300    1.1183334173E-07    4.5105513923E-27
 7443.006400    1.1178265047E-07    4.5085068720E-27
