%nu,H2O/x=.0014/T=296K/P=1atm/L=10cm
7443.0,0.0
7443.001,9.54647090089e-07
7443.002,9.49560861114e-07
7443.003,9.44498920581e-07
7443.004,9.39469524775e-07
7443.005,9.34480316188e-07
7443.006,9.29538326902e-07
7443.007,9.2464998703e-07
7443.008,9.19821137573e-07
7443.009,9.15057047102e-07
7443.01,9.10362431665e-07
7443.011,9.05741477355e-07
7443.012,9.0119786498e-07
7443.013,8.96734796339e-07
7443.014,8.92355021628e-07
7443.015,8.88060867541e-07
7443.016,8.83854265682e-07
7443.017,8.79736780932e-07
7443.018,8.75709639462e-07
7443.019,8.71773756135e-07
7443.02,8.67929761032e-07
7443.021,8.6417802493e-07
7443.022,8.60518683546e-07
7443.023,8.56951660401e-07
7443.024,8.53476688192e-07
7443.025,8.50093328582e-07
7443.026,8.46800990321e-07
7443.027,8.43598945662e-07
7443.028,8.40486345039e-07
7443.029,8.37462229997e-07
7443.03,8.34525544398e-07
7443.031,8.31675143956e-07
7443.032,8.28909804159e-07
7443.033,8.26228226709e-07
7443.034,8.23629044613e-07
7443.035,8.21110826115e-07
7443.036,8.18672077687e-07
7443.037,8.16311246333e-07
7443.038,8.14026721512e-07
7443.039,8.11816836969e-07
7443.04,8.09679872831e-07
7443.041,8.07614058273e-07
7443.042,8.05617575105e-07
7443.043,8.0368856254e-07
7443.044,8.01825123418e-07
7443.045,8.00025332046e-07
7443.046,7.98287243776e-07
7443.047,7.96608906331e-07
7443.048,7.94988372784e-07
7443.049,7.93423716024e-07
7443.05,7.91913044398e-07
7443.051,7.90454518157e-07
7443.052,7.89046366245e-07
7443.053,7.87686902888e-07
7443.054,7.86374543447e-07
7443.055,7.85107818941e-07
7443.056,7.83885388701e-07
7443.057,7.82706050666e-07
7443.058,7.81568748884e-07
7443.059,7.80472577928e-07
7443.06,7.7941678403e-07
7443.061,7.78400762875e-07
7443.062,7.7742405416e-07
7443.063,7.76486333129e-07
7443.064,7.75587399435e-07
7443.065,7.74727163771e-07
7443.066,7.73905632816e-07
7443.067,7.73122893047e-07
7443.068,7.72379094034e-07
7443.069,7.7167443179e-07
7443.07,7.71009132727e-07
7443.071,7.70383438708e-07
7443.072,7.69797593584e-07
7443.073,7.69251831542e-07
7443.074,7.68746367471e-07
7443.075,7.68281389442e-07
7443.076,7.67857053342e-07
7443.077,7.67473479567e-07
7443.078,7.6713075163e-07
7443.079,7.66828916504e-07
7443.08,7.66567986415e-07
7443.081,7.66347941853e-07
7443.082,7.66168735501e-07
7443.083,7.66030296822e-07
7443.084,7.65932537042e-07
7443.085,7.65875354322e-07
7443.086,7.65858638897e-07
7443.087,7.65882278056e-07
7443.088,7.65946160822e-07
7443.089,7.66050182259e-07
7443.09,7.66194247342e-07
7443.091,7.66378274377e-07
7443.092,7.66602197954e-07
7443.093,7.66865971454e-07
7443.094,7.67169569144e-07
7443.095,7.67512987877e-07
7443.096,7.67896248465e-07
7443.097,7.68319396736e-07
7443.098,7.68782504358e-07
7443.099,7.69285669429e-07
7443.1,7.6982901691e-07
7443.101,7.70412698913e-07
7443.102,7.71036894881e-07
7443.103,7.71701811692e-07
7443.104,7.72407683707e-07
7443.105,7.73154772784e-07
7443.106,7.73943368264e-07
7443.107,7.74773786964e-07
7443.108,7.75646373165e-07
7443.109,7.76561498619e-07
7443.11,7.77519562576e-07
7443.111,7.78520991832e-07
7443.112,7.79566240814e-07
7443.113,7.80655791693e-07
7443.114,7.8179015453e-07
7443.115,7.82969867464e-07
7443.116,7.84195496931e-07
7443.117,7.85467637921e-07
7443.118,7.86786914275e-07
7443.119,7.8815397902e-07
7443.12,7.89569514732e-07
7443.121,7.91034233951e-07
7443.122,7.92548879616e-07
7443.123,7.94114225552e-07
7443.124,7.95731076978e-07
7443.125,7.97400271057e-07
7443.126,7.99122677485e-07
7443.127,8.00899199104e-07
7443.128,8.02730772559e-07
7443.129,8.04618368976e-07
7443.13,8.06562994688e-07
7443.131,8.08565691983e-07
7443.132,8.10627539885e-07
7443.133,8.1274965497e-07
7443.134,8.14933192211e-07
7443.135,8.17179345854e-07
7443.136,8.19489350325e-07
7443.137,8.21864481161e-07
7443.138,8.24306055981e-07
